schoolId,name,latitude,longitude
5111,Westlake Forrest Hill Kindergarten,-36.769431,174.750756
5112,Westmere Kindergarten,-36.857545,174.721889
5113,Farm Cove Kindergarten,-36.895766,174.895348
5114,Yendarra Kindergarten,-36.96639,174.878134
5115,Alfriston Road Kindergarten,-37.022654,174.901739
5116,Clayton Park Kindergarten,-37.040785,174.896741
5117,Kawakawa Bay Kindergarten,-36.950135,175.17046
5118,Finlayson Park Kindergarten,-37.031778,174.872214
5120,George Street Kindergarten,-37.255674,174.731194
5121,Hill Park Kindergarten,-37.012992,174.897918
5122,Homai Kindergarten,-37.016589,174.867948
5124,Mason Avenue Kindergarten,-37.208415,174.898796
5125,Nina Busing Kindergarten,-37.061432,174.950189
5126,Papakura West Kindergarten,-37.068697,174.936727
5127,Papakura North Kindergarten,-37.055635,174.943671
5128,Park Estate Kindergarten,-37.084603,174.938737
5129,Pukekohe Central Kindergarten,-37.20024,174.899951
5130,Redoubt North Kindergarten,-36.986237,174.890207
5131,Roscommon Kindergarten,-37.027702,174.861363
5132,Settlement Road Kindergarten,-37.065864,174.961701
5133,Waiuku Kindergarten,-37.249483,174.731426
5134,Aberdeen Kindergarten,-37.789149,175.244144
5135,Bellmont Avenue Kindergarten,-37.755232,175.279108
5136,Cambridge Kindergarten,-37.888071,175.466238
5137,Chartwell Kindergarten,-37.751308,175.269989
5138,Deanwell Kindergarten,-37.820076,175.278626
5139,Dinsdale Kindergarten,-37.797955,175.234792
5140,Fairfield Kindergarten,-37.765684,175.286344
5141,Frankton Kindergarten,-37.792774,175.251927
5142,Galbraith Kindergarten,-37.665415,175.145297
5143,Grandview Kindergarten,-37.779938,175.237374
5144,Hamilton West Kindergarten,-37.800895,175.282695
5145,Hillcrest Kindergarten,-37.795715,175.320587
5146,Hukanui Kindergarten,-37.748448,175.279835
5147,Insoll Kindergarten,-37.760176,175.293024
5148,James Gray Kindergarten,-37.8994,175.482054
5149,Jamieson Kindergarten,-37.770656,175.25478
5150,Leamington Kindergarten,-37.908185,175.473379
5151,Melville Kindergarten,-37.807532,175.288774
5152,Miropiko Kindergarten,-37.778921,175.28209
5153,Newcastle Kindergarten,-37.658811,175.153235
5154,Peachgrove Kindergarten,-37.792328,175.301335
5155,Pukete Kindergarten,-37.745653,175.242151
5156,Raglan Kindergarten,-37.803492,174.870584
5157,St Andrews Kindergarten,-37.753083,175.255011
5158,Glenview Kindergarten,-37.820895,175.292831
5159,Whitiora Kindergarten,-37.779077,175.269684
5160,Central Kids Kindergartens - Paeroa,-37.380555,175.674004
5161,Te Aroha Kindergarten,-37.541502,175.712786
5162,Central Kids Kindergartens - Thames,-37.144659,175.547745
5163,Central Kids Kindergartens - Apanui,-37.956746,176.987428
5164,Central Kids Kindergartens - Arohanui,-38.241057,175.866634
5165,Central Kids Kindergartens - Balmoral,-38.23732,175.858901
5166,Central Kids Kindergartens - Charles,-38.043588,175.777745
5167,Central Kids Kindergartens - Clyde Street,-38.22392,175.865618
5168,Central Kids Kindergartens - David Henry,-38.225091,175.852368
5169,Central Kids Kindergartens - Edgecumbe,-37.978069,176.82628
5170,Central Kids Kindergartens - Elstree,-38.15123,176.240576
5172,Central Kids Kindergartens - Fordlands,-38.145132,176.22611
5173,Central Kids Kindergartens - Garaway,-37.967231,176.97948
5174,Central Kids Kindergartens - Glenshea,-38.052862,175.778208
5175,Central Kids Kindergartens - Hazelmere,-38.013401,175.333251
5176,Central Kids Kindergartens - Helen Downer,-38.143558,176.244429
5177,Central Kids Kindergartens - Hinemoa,-38.689996,176.097321
5178,Central Kids Kindergartens - Homedale,-38.136503,176.210088
5179,Central Kids Kindergartens - Huntly,-37.555315,175.160754
5180,Central Kids Kindergartens - Huntly West,-37.565228,175.147639
5181,Central Kids Kindergartens - Jackson Park,-38.160313,176.233711
5183,Central Kids Kindergartens - Kihikihi,-38.036289,175.346044
5185,Central Kids Kindergartens - Laughton,-38.686308,176.082142
5186,Central Kids Kindergartens - Mill Crescent,-37.815328,175.770146
5187,Central Kids Kindergartens - Morrinsville,-37.654869,175.526658
5188,Karamuramu Kindergarten,-38.460566,176.707776
5189,Central Kids Kindergartens - Ngongotaha,-38.079491,176.210888
5190,Central Kids Kindergartens - Opotiki,-38.010404,177.28812
5191,Central Kids Kindergartens - Otorohanga,-38.184086,175.209407
5192,Central Kids Kindergartens - Owhata,-38.134539,176.303531
5193,Central Kids Kindergartens - Paraone,-38.883062,175.273736
5194,Central Kids Kindergartens - Paraonui,-38.214907,175.854701
5195,Central Kids Kindergartens - Putauaki,-38.088689,176.686908
5196,Central Kids Kindergartens - Rawhiti,-37.810846,175.784307
5197,Central Kids Kindergartens - Rewi Street,-38.009108,175.320539
5198,Central Kids Kindergartens - Rotorua East,-38.141855,176.291251
5199,Central Kids Kindergartens - Selwyn,-38.113576,176.223982
5200,Central Kids Kindergartens - Strathmore,-37.967364,176.97947
5201,Central Kids Kindergartens -  Te Ara Matauranga,-38.868003,175.252404
5202,Central Kids Kindergartens - Te Akoranga,-38.089748,176.704945
5203,Central Kids Kindergartens - Te Kuiti,-38.33157,175.172835
5204,Central Kids Kindergartens - Turangi,-38.984834,175.810295
5205,Central Kids Kindergartens - Waipahihi,-38.717748,176.088582
5206,Central Kids Kindergartens - Fairview Park,-38.123949,176.219025
5207,Arataki Free Kindergarten,-37.675143,176.233123
5208,Brookfield Free Kindergarten,-37.691872,176.135839
5209,Greerton Village Kindergarten,-37.728108,176.133088
5210,Gwen Rogers Free Kindergarten,-37.659423,176.205443
5211,Maungatapu Free Kindergarten,-37.715408,176.183088
5212,Otumoetai Free Kindergarten,-37.674444,176.149749
5214,Te Puke Free Kindergarten,-37.787632,176.323733
5215,Paengaroa Free Kindergarten,-37.825629,176.414366
5216,Bell Block Pohutakawa Kindergarten,-39.033423,174.146674
5217,Brooklands Kindergarten,-39.077166,174.08592
5218,Devon Kindergarten,-39.06117,174.051079
5219,Fitzroy Kindergarten,-39.047166,174.100508
5220,Kahikatea Kindergarten Hurdon,-39.090656,174.056219
5221,Inglewood Kindergarten,-39.158532,174.198627
5222,Marfell Kindergarten,-39.076945,174.049219
5223,Merrilands Kindergarten,-39.060276,174.101275
5224,Pukekura Kindergarten,-39.061909,174.080605
5225,Puketapu Kindergarten,-39.0256,174.151948
5226,Ngamotu Kindergarten,-39.066822,174.024088
5227,Waitara Central Kindergarten,-39.00388,174.235342
5228,Orapa Kindergarten,-38.992442,174.22415
5229,Westown Kindergarten,-39.073975,174.060422
5230,Avon Kindergarten,-39.350813,174.281919
5231,Eltham Kindergarten,-39.432754,174.298041
5232,Hawera Kindergarten,-39.592791,174.272906
5233,Koromiko Kindergarten,-39.574119,174.275872
5234,Patea Kindergarten,-39.752936,174.473646
5235,Stratford Central Kindergarten,-39.338183,174.290169
5236,Tawhiti Kindergarten,-39.585567,174.293161
5237,Aramoho Kindergarten,-39.901905,175.061608
5238,Barsanti Kindergarten,-39.938752,175.007893
5239,Central Kindergarten,-39.923009,175.047316
5240,Gonville Kindergarten,-39.939811,175.02463
5241,Harriette Vine Kindergarten,-39.938533,175.034074
5243,Marie McFarland Kindergarten,-39.940274,174.985611
5244,Ohakune Kindergarten,-39.414677,175.405971
5245,Durie Hill Kindergarten,-39.937758,175.063996
5246,Putiki Kindergarten,-39.947241,175.049645
5247,St John's Hill Kindergarten,-39.921961,175.036729
5248,Wanganui East Kindergarten,-39.921633,175.064529
5249,Ashhurst Kindergarten,-40.285609,175.757251
5251,Bulls Kindergarten,-40.170353,175.388609
5252,Campbell Street Early Learning,-40.354163,175.604744
5253,Cloverlea Kindergarten,-40.345444,175.585481
5254,Feilding Kindergarten,-40.22464,175.572796
5255,Somerset Kindergarten,-40.353544,175.585522
5256,Hokowhitu Kindergarten,-40.358649,175.636266
5258,Waiouru Kindergarten and Care,-39.467887,175.676161
5259,Linton Kindergarten,-40.409426,175.587867
5260,Milson Kindergarten,-40.330709,175.610475
5261,Manchester Kindergarten,-40.222815,175.559302
5262,Mill Street Early Learning,-40.077873,175.373901
5263,Parkland Kindergarten,-40.350542,175.640692
5264,Riverdale Kindergarten (PN),-40.376767,175.598038
5265,Roslyn Kindergarten,-40.340869,175.632165
5266,Takaro Kindergarten,-40.361088,175.589187
5268,West End Kindergarten,-40.368689,175.589377
5269,Foxton District Kindergarten,-40.47632,175.293238
5270,Taihape Kindergarten,-39.674126,175.796165
5271,Knox Street Kindergarten,-38.65474,177.993259
5272,Mangapapa Kindergarten,-38.648132,178.018724
5273,Pickering Street Kindergarten,-38.673825,178.056268
5274,Rutene Road Kindergarten,-38.668736,178.036
5275,Wairoa Kindergarten,-39.038714,177.422969
5277,Bette Christie Kindergarten,-39.520301,176.903693
5278,Greenmeadows Kindergarten,-39.527591,176.857723
5279,Marewa Kindergarten,-39.50252,176.903846
5280,Mary Richmond Kindergarten,-39.513459,176.906299
5281,Wycliffe Nga Tamariki Kindergarten,-39.512295,176.897114
5282,Onekawa Kindergarten,-39.507729,176.887231
5283,Pirimai Kindergarten,-39.5183,176.882744
5284,Riversdale Kindergarten,-39.543291,176.850262
5285,Tamatea Kindergarten,-39.509463,176.867752
5286,Taradale Kindergarten,-39.536466,176.844991
5287,Wharerangi Kindergarten,-39.510233,176.86211
5288,Camberley Kindergarten,-39.629836,176.820519
5289,Harold Mayo Kindergarten,-39.647197,176.842473
5290,Havelock North Central Kindergarten,-39.667385,176.880384
5291,Ellen Stevenson Kindergarten,-39.618912,176.788264
5292,Peterhead Kindergarten,-39.628346,176.790148
5293,Irongate Kindergarten,-39.62902,176.783593
5294,Lucknow Kindergarten,-39.671196,176.866863
5295,Mahora Kindergarten,-39.627719,176.846854
5296,Mayfair Kindergarten,-39.639802,176.865031
5297,Parkvale Kindergarten,-39.651808,176.852412
5298,Raureka Kindergarten,-39.64286,176.825063
5299,Te Mata Kindergarten,-39.668266,176.897412
5300,Hunter Park Kindergarten,-39.99656,176.551183
5301,Lakeview Kindergarten,-40.00669,176.544613
5302,Waipawa Kindergarten,-39.942329,176.585443
5303,Appleton Kindergarten,-40.193241,176.103022
5304,Dannevirke Central Kindergarten,-40.204004,176.10919
5305,Holyoake Kindergarten,-40.451111,175.840227
5306,Pahiatua Early Learning,-40.452127,175.844884
5307,Lansdowne Kindergarten,-40.942751,175.67437
5308,Masterton West Kindergarten,-40.946268,175.644078
5309,Meta Riddiford Kindergarten,-41.118299,175.323629
5310,Manaia Kindergarten,-40.961983,175.644153
5311,Una Williams Kindergarten,-40.956372,175.664691
5312,York Street Kindergarten,-40.955771,175.638325
5313,Carterton Kindergarten,-41.026956,175.524265
5314,Greytown Kindergarten,-41.080938,175.462447
5315,Birchville Kindergarten,-41.093139,175.100568
5316,Brown Owl Kindergarten,-41.107783,175.102757
5317,Cottle Kindergarten,-41.125417,175.041835
5318,Doris Nicholson Kindergarten,-41.116554,175.09006
5319,Heretaunga Kindergarten,-41.143099,175.016169
5320,Irmgard Ritchie Kindergarten,-41.117707,175.055546
5321,Silverstream Kindergarten,-41.149495,175.007911
5322,Totara Park Kindergarten,-41.108582,175.082624
5323,Trentham Kindergarten,-41.136568,175.038453
5324,Upper Hutt Kindergarten,-41.121456,175.070323
5325,Arakura Kindergarten,-41.241686,174.944938
5326,Avalon Kindergarten,-41.196249,174.943125
5327,Dyer Street Kindergarten,-41.202252,174.937846
5328,Epuni Kindergarten,-41.207824,174.932071
5329,Kelson Kindergarten,-41.180769,174.932711
5330,Koraunui Kindergarten,-41.179914,174.983178
5331,Maungaraki Kindergarten,-41.208097,174.877722
5332,Naenae Kindergarten,-41.204185,174.950548
5333,Parkway Kindergarten,-41.252061,174.932243
5334,Moera Kindergarten,-41.223975,174.901928
5335,Stokes Valley Kindergarten,-41.165958,174.984424
5336,Sun Valley Kindergarten,-41.245765,174.936827
5337,Taita Kindergarten,-41.179835,174.956642
5338,Boulcott Kindergarten,-41.201562,174.921961
5339,Pukeatua Kindergarten,-41.253581,174.949973
5340,Waterloo Kindergarten,-41.216258,174.922711
5341,Ascot Park Kindergarten,-41.117653,174.87235
5342,Berhampore Kindergarten,-41.319733,174.772826
5343,Brian Webb Kindergarten,-41.164448,174.823524
5344,Brooklyn Kindergarten,-41.306745,174.760314
5345,Campbell Kindergarten,-41.286,174.739931
5346,Churton Park Kindergarten,-41.208615,174.808206
5347,Pikopiko Clyde Quay Kindergarten,-41.2962,174.785235
5348,Discovery Kindergarten,-41.110808,174.889101
5349,East Harbour Kindergarten,-41.288424,174.900914
5350,Hataitai Kindergarten,-41.304291,174.793115
5352,Waitohi Kindergarten,-41.222965,174.804097
5353,Johnsonville West Kindergarten,-41.226132,174.797586
5354,Sunshine Kindergarten,-41.28417,174.725093
5355,Katoa Kindergarten,-41.124879,174.831617
5356,Khandallah Kindergarten,-41.248112,174.793635
5357,Lyall Bay Kindergarten,-41.327464,174.7985
5358,Maraeroa Kindergarten,-41.138927,174.87177
5359,Miramar Central Kindergarten,-41.315969,174.820775
5360,Miramar North Kindergarten,-41.307559,174.822681
5361,Moira Gallagher Kindergarten,-41.141876,174.860828
5362,Awatea Kindergarten,-41.139554,174.847227
5363,Newlands Kindergarten,-41.227,174.84879
5364,Bellevue Kindergarten,-41.227972,174.824012
5365,Newtown Kindergarten,-41.306426,174.778646
5366,Ngahina Kindergarten,-40.913629,175.003284
5367,Ngaio Kindergarten,-41.24779,174.774387
5368,Northland Kindergarten,-41.278341,174.759923
5369,Onslow Kindergarten,-41.243619,174.794132
5370,Otaki Kindergarten,-40.757381,175.143688
5371,Papakowhai Kindergarten,-41.114284,174.866818
5372,Papararangi Kindergarten,-41.213609,174.818052
5373,Paraparaumu Kindergarten,-40.883051,174.99472600000001
5374,Paremata Kindergarten,-41.104294,174.874616
5375,Parsons Avenue Kindergarten,-40.628793,175.299339
5376,Petone Kindergarten,-41.226734,174.890373
5377,Plimmerton Kindergarten,-41.082696,174.865243
5378,Pukerua Bay Kindergarten,-41.034479,174.887066
5379,Raumati Beach Kindergarten,-40.919862,174.984439
5380,Seatoun Kindergarten,-41.325952,174.836507
5381,Strathmore Park Kindergarten,-41.327143,174.820036
5382,Tairangi Kindergarten,-41.122787,174.880632
5383,Taitoko Kindergarten,-40.637959,175.289088
5384,Tawa Central Kindergarten,-41.171927,174.82637
5385,Titahi Bay Kindergarten,-41.100244000000004,174.841792
5386,Tui Park Kindergarten,-41.155853,174.83544
5387,Wadestown Kindergarten,-41.261003,174.778246
5388,Waikanae Kindergarten,-40.875333,175.053824
5389,Waitangirua Kindergarten,-41.131838,174.880818
5390,Wellington South Kindergarten,-41.314569,174.785051
5391,Petone Beach Kindergarten,-41.227216,174.878745
5392,Mayfield Kindergarten (Blenheim),-41.503674,173.95435
5394,Redwoodtown Kindergarten,-41.531705,173.954753
5395,Seymour Kindergarten,-41.520349,173.960682
5396,Witherlea Kindergarten,-41.537815,173.954599
5397,Birchwood Kindergarten,-41.306907,173.223802
5398,Greenwood Kindergarten,-41.110238,173.015841
5399,Grove Street Kindergarten,-41.269276,173.289816
5400,Waimea Kindergarten,-41.342492,173.196589
5401,Laura Ingram Kindergarten,-41.109751,173.010073
5402,Nayland Kindergarten,-41.305889,173.232722
5403,Nelson South Kindergarten,-41.292002,173.268951
5404,Nelson Central Kindergarten,-41.283931,173.291252
5405,Richmond Kindergarten,-41.337994,173.189033
5406,Stoke Kindergarten,-41.316634,173.233872
5407,Tahunanui Kindergarten,-41.285716,173.244972
5408,Westport Kindergarten,-41.751404,171.598887
5409,Kidsfirst Kindergartens Avonhead,-43.519959,172.55623
5411,Kidsfirst Kindergartens Beckenham,-43.559254,172.645096
5413,Kidsfirst Kindergartens Bush Street,-43.316455,172.590602
5414,Kidsfirst Kindergartens Parklands,-43.479876,172.705687
5415,Kidsfirst Kindergartens Cashmere,-43.57858,172.627685
5417,Kidsfirst Kindergartens Cotswold Avenue,-43.482043,172.58694
5418,Kidsfirst Kindergartens Edmonds Smith St,-43.543421,172.672049
5419,Kidsfirst Kindergartens Ilam,-43.514018,172.577986
5420,Kidsfirst Kindergartens Greymouth,-42.461894,171.201651
5421,Kidsfirst Kindergartens Hargest Crescent,-43.549303,172.646019
5422,Kidsfirst Kindergartens Hei Hei,-43.536003,172.521843
5424,Kidsfirst Kindergartens Hokitika,-42.718031,170.969326
5425,Kidsfirst Kindergartens Hornby,-43.544517,172.528874
5426,Kidsfirst Kindergartens Isleworth Road,-43.491761,172.58398
5427,Kidsfirst Kindergartens Karoro,-42.484859,171.183491
5428,Kidsfirst Kindergartens Bromley,-43.536523,172.686764
5429,Kidsfirst Kindergartens Kendal Avenue,-43.49801,172.573679
5430,Kidsfirst Kindergartens King Street,-43.302924,172.589416
5431,Kidsfirst Kindergartens Lady May,-43.533635,172.572146
5432,Kidsfirst Kindergartens Linwood,-43.528765,172.667909
5433,Kidsfirst Kindergartens Lyttelton,-43.601182,172.719872
5434,Kidsfirst Kindergartens MacFarlane Park,-43.500816,172.654281
5435,Kidsfirst Kindergartens McKenzie,-43.531183,172.591524
5436,Kidsfirst Kindergartens Mairehau,-43.500982,172.643097
5437,Kidsfirst Kindergartens Mathers Road,-43.563514,172.590784
5438,Kidsfirst Kindergartens The Bays,-43.556026,172.720624
5439,Kidsfirst Kindergartens Ngaire Larcombe,-43.504644,172.705636
5440,Kidsfirst Kindergartens Northcote,-43.484451,172.605312
5441,Kidsfirst Kindergartens Nth New Brighton,-43.498115,172.71500700000001
5442,Kidsfirst Kindergartens Nuffield,-43.509111,172.722782
5443,Kidsfirst Kindergartens Opawa St Martins,-43.559576,172.661636
5444,Kidsfirst Kindergartens Papanui,-43.498201,172.608381
5445,Kidsfirst Kindergartens Phillipstown,-43.536801,172.659453
5446,Kidsfirst Kindergartens Pitcairn Crescent,-43.503969,172.59885
5447,Kidsfirst Kindergarten Portsmouth Street,-43.510301,172.70094
5448,Kidsfirst Kindergartens Queenspark,-43.472866,172.696038
5449,Kidsfirst Kindergartens Redwood,-43.476956,172.616704
5450,Kidsfirst Kindergartens Riccarton,-43.527685,172.605249
5451,Kidsfirst Kindergartens Richmond,-43.517387,172.654002
5452,Kidsfirst Kindergartens Hoon Hay,-43.562824,172.58743
5453,Kidsfirst Kindergartens Rutland Street,-43.500688,172.623532
5454,Kidsfirst Kindergartens Selwyn Street,-43.545716,172.621942
5455,Kidsfirst Kindergartens Shirley,-43.509623,172.665301
5456,Kidsfirst Kindergartens South Brighton,-43.52323,172.733467
5457,Kidsfirst Kindergartens Sumner,-43.57237,172.760034
5458,Kidsfirst Kindergartens Sunbeam,-43.512794,172.637037
5459,Kidsfirst Kindergartens Templeton,-43.550738,172.474027
5460,Kidsfirst Kindergartens Trengrove,-43.509877,172.588655
5461,Kidsfirst Kindergartens Vickery Street,-43.38882,172.650792
5462,Kidsfirst Kindergartens Wales Street,-43.576329,172.557125
5463,Kidsfirst Kindergartens Wigram,-43.547832,172.540968
5464,Kidsfirst Kindergartens Woolley Street,-43.505659,172.689991
5465,Kidsfirst Kindergartens Burnham,-43.618797,172.29848
5466,Allenton Free Kindergarten,-43.887618,171.741349
5467,Aubrey Mason Free Kindergarten,-43.922943,171.719013
5468,Hampstead Free Kindergarten,-43.909817,171.758544
5469,Merle Leask Free Kindergarten,-43.897462,171.768098
5470,Thomas Street Kindergarten,-43.888588,171.757071
5471,Geraldine Kindergarten,-44.092059,171.24283
5472,Glenview Free Kindergarten,-44.384248,171.191884
5473,Hanan Free Kindergarten,-44.408155,171.241928
5474,Kowhai Free Kindergarten,-44.40586,171.232066
5475,Fairlie Area Kindergarten,-44.096779,170.823389
5476,Ranui Free Kindergarten (Timaru),-44.378819,171.229709
5477,Rata Free Kindergarten,-44.234393,171.277403
5478,Rhona Day Free Kindergarten,-44.243673,171.28231
5479,Twizel Free Kindergarten,-44.252846,170.097406
5480,Waimataitai Kindergarten,-44.384471,171.239124
5481,West End Kindergarten (Timaru),-44.391172,171.224636
5482,Esk Valley Kindergarten,-44.526997,171.08157
5483,Casa Nova Kindergarten,-45.077838,170.983595
5484,Holmes Kindergarten,-45.105571,170.945554
5485,Edna McCulloch Kindergarten,-45.106023,170.965708
5486,Kidsfirst Kindergartens Alexandra,-45.255097,169.390524
5487,Kidsfirst Kindergartens Cromwell,-45.043604,169.186431
5488,Kidsfirst Kindergartens Terrace,-45.243424,169.390337
